industry_sector,Ares Capital Corporation,Main Street Capital Corporation,Total
Software/Technology,122,18,140
Other,45,44,89
Industrial/Manufacturing,9,27,36
Healthcare Services,26,6,32
Financial Services,24,7,31
Business Services,12,5,17
Food & Beverage,3,8,11
Retail,1,8,9
Energy & Utilities,2,3,5
Transportation & Logistics,4,1,5
Education,0,4,4
Telecommunications,1,3,4
Hospitality,1,2,3
Real Estate,2,1,3
Consumer Products,0,2,2
Media & Entertainment,1,1,2
