0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio Company(a),Portfolio Company(a),Portfolio Company(a),,,,Footnotes,Footnotes,Footnotes,,,,Industry,Industry,Industry,,,,Rate(b),Rate(b),Rate(b),,,,Floor,Floor,Floor,,,,Maturity,Maturity,Maturity,,,,Principal Amount(c),Principal Amount(c),Principal Amount(c),,,,Amortized Cost,Amortized Cost,Amortized Cost,,,,Fair Value(d),Fair Value(d),Fair Value(d)
Arcos LLC/VA,Arcos LLC/VA,Arcos LLC/VA,,,,(x),(x),(x),,,,Software & Services,Software & Services,Software & Services,,,,SF+625,SF+625,SF+625,,,,1.0%,1.0%,1.0%,,,,4/20/27,4/20/27,4/20/27,,,,4.5,4.5,,,,,4.5,4.5,,,,,4.2,4.2,
Area Wide Protective Inc,Area Wide Protective Inc,Area Wide Protective Inc,,,,(f)(v),(f)(v),(f)(v),,,,Commercial & Professional Services,Commercial & Professional Services,Commercial & Professional Services,,,,SF+475,SF+475,SF+475,,,,1.0%,1.0%,1.0%,,,,12/23/30,12/23/30,12/23/30,,,,19.2,19.2,,,,,19.1,19.1,,,,,19.2,19.2,
Area Wide Protective Inc,Area Wide Protective Inc,Area Wide Protective Inc,,,,(x),(x),(x),,,,Commercial & Professional Services,Commercial & Professional Services,Commercial & Professional Services,,,,SF+475,SF+475,SF+475,,,,1.0%,1.0%,1.0%,,,,12/23/30,12/23/30,12/23/30,,,,12.1,12.1,,,,,12.1,12.1,,,,,12.1,12.1,
Arrotex Australia Group Pty Ltd,Arrotex Australia Group Pty Ltd,Arrotex Australia Group Pty Ltd,,,,(v)(w),(v)(w),(v)(w),,,,"Pharmaceuticals, Biotechnology & Life Sciences","Pharmaceuticals, Biotechnology & Life Sciences","Pharmaceuticals, Biotechnology & Life Sciences",,,,B+575,B+575,B+575,,,,0.5%,0.5%,0.5%,,,,6/30/28,6/30/28,6/30/28,,,,A$,7.1,,,,,4.6,4.6,,,,,4.3,4.3,
Arrotex Australia Group Pty Ltd,Arrotex Australia Group Pty Ltd,Arrotex Australia Group Pty Ltd,,,,(w)(x),(w)(x),(w)(x),,,,"Pharmaceuticals, Biotechnology & Life Sciences","Pharmaceuticals, Biotechnology & Life Sciences","Pharmaceuticals, Biotechnology & Life Sciences",,,,B+575,B+575,B+575,,,,0.5%,0.5%,0.5%,,,,6/30/28,6/30/28,6/30/28,,,,3.7,3.7,,,,,2.5,2.5,,,,,2.4,2.4,
ATX Networks Corp,ATX Networks Corp,ATX Networks Corp,,,,(ad)(v)(w),(ad)(v)(w),(ad)(v)(w),,,,Capital Goods,Capital Goods,Capital Goods,,,,SF+600 PIK (SF+600 Max PIK),SF+600 PIK (SF+600 Max PIK),SF+600 PIK (SF+600 Max PIK),,,,1.0%,1.0%,1.0%,,,,9/1/26,9/1/26,9/1/26,,,,$,15.3,,,,,15.3,15.3,,,,,15.3,15.3,
ATX Networks Corp,ATX Networks Corp,ATX Networks Corp,,,,(ad)(s)(v)(w),(ad)(s)(v)(w),(ad)(s)(v)(w),,,,Capital Goods,Capital Goods,Capital Goods,,,,SF+700 PIK (SF+700 Max PIK),SF+700 PIK (SF+700 Max PIK),SF+700 PIK (SF+700 Max PIK),,,,1.0%,1.0%,1.0%,,,,9/1/26,9/1/26,9/1/26,,,,50.6,50.6,,,,,50.6,50.6,,,,,50.6,50.6,
ATX Networks Corp,ATX Networks Corp,ATX Networks Corp,,,,(ad)(s)(v)(w),(ad)(s)(v)(w),(ad)(s)(v)(w),,,,Capital Goods,Capital Goods,Capital Goods,,,,SF+650 PIK (SF+650 Max PIK),SF+650 PIK (SF+650 Max PIK),SF+650 PIK (SF+650 Max PIK),,,,0.8%,0.8%,0.8%,,,,9/1/26,9/1/26,9/1/26,,,,37.0,37.0,,,,,36.4,36.4,,,,,37.0,37.0,
ATX Networks Corp,ATX Networks Corp,ATX Networks Corp,,,,(ad)(w)(x),(ad)(w)(x),(ad)(w)(x),,,,Capital Goods,Capital Goods,Capital Goods,,,,SF+600 PIK (SF+600 Max PIK),SF+600 PIK (SF+600 Max PIK),SF+600 PIK (SF+600 Max PIK),,,,1.0%,1.0%,1.0%,,,,9/1/26,9/1/26,9/1/26,,,,5.4,5.4,,,,,5.4,5.4,,,,,5.4,5.4,
Avetta LLC,Avetta LLC,Avetta LLC,,,,(v),(v),(v),,,,Software & Services,Software & Services,Software & Services,,,,"SF+450, 0.0% PIK (2.3% Max PIK)","SF+450, 0.0% PIK (2.3% Max PIK)","SF+450, 0.0% PIK (2.3% Max PIK)",,,,0.5%,0.5%,0.5%,,,,7/26/31,7/26/31,7/26/31,,,,15.0,15.0,,,,,14.8,14.8,,,,,14.9,14.9,
Avetta LLC,Avetta LLC,Avetta LLC,,,,(x),(x),(x),,,,Software & Services,Software & Services,Software & Services,,,,SF+450,SF+450,SF+450,,,,0.5%,0.5%,0.5%,,,,7/26/30,7/26/30,7/26/30,,,,2.6,2.6,,,,,2.6,2.6,,,,,2.6,2.6,
Avetta LLC,Avetta LLC,Avetta LLC,,,,(x),(x),(x),,,,Software & Services,Software & Services,Software & Services,,,,"SF+450, 0.0% PIK (2.3% Max PIK)","SF+450, 0.0% PIK (2.3% Max PIK)","SF+450, 0.0% PIK (2.3% Max PIK)",,,,0.5%,0.5%,0.5%,,,,7/26/31,7/26/31,7/26/31,,,,3.7,3.7,,,,,3.7,3.7,,,,,3.7,3.7,
BDO USA PA,BDO USA PA,BDO USA PA,,,,(v),(v),(v),,,,Commercial & Professional Services,Commercial & Professional Services,Commercial & Professional Services,,,,SF+500,SF+500,SF+500,,,,2.0%,2.0%,2.0%,,,,8/31/28,8/31/28,8/31/28,,,,28.1,28.1,,,,,27.6,27.6,,,,,28.1,28.1,
Belk Inc,Belk Inc,Belk Inc,,,,(ad)(v),(ad)(v),(ad)(v),,,,Consumer Discretionary Distribution & Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary Distribution & Retail,,,,15.0%,15.0%,15.0%,,,,,,,,,,7/23/29,7/23/29,7/23/29,,,,29.4,29.4,,,,,29.4,29.4,,,,,29.5,29.5,
BGB Group LLC,BGB Group LLC,BGB Group LLC,,,,(f)(i)(k)(m)(t),(f)(i)(k)(m)(t),(f)(i)(k)(m)(t),,,,Media & Entertainment,Media & Entertainment,Media & Entertainment,,,,SF+525,SF+525,SF+525,,,,1.0%,1.0%,1.0%,,,,8/16/27,8/16/27,8/16/27,,,,108.9,108.9,,,,,108.3,108.3,,,,,107.7,107.7,
BGB Group LLC,BGB Group LLC,BGB Group LLC,,,,(x),(x),(x),,,,Media & Entertainment,Media & Entertainment,Media & Entertainment,,,,SF+525,SF+525,SF+525,,,,1.0%,1.0%,1.0%,,,,8/16/27,8/16/27,8/16/27,,,,7.4,7.4,,,,,7.4,7.4,,,,,7.3,7.3,
