bdc_name,Ares Capital Corporation,FS KKR Capital Corp,Main Street Capital Corporation,New Mountain Finance Corporation,Oaktree Specialty Lending Corporation,Prospect Capital Corporation
Ares Capital Corporation,253,0,1,0,0,0
FS KKR Capital Corp,0,279,0,0,0,0
Main Street Capital Corporation,1,0,140,0,0,0
New Mountain Finance Corporation,0,0,0,26,0,0
Oaktree Specialty Lending Corporation,0,0,0,0,10,0
Prospect Capital Corporation,0,0,0,0,0,124
