bdc_name,total_companies,shared_companies,pct_shared
FS KKR Capital Corp,279,0,0.0
Ares Capital Corporation,253,1,0.4
Main Street Capital Corporation,140,1,0.7
Prospect Capital Corporation,124,0,0.0
New Mountain Finance Corporation,26,0,0.0
Oaktree Specialty Lending Corporation,10,0,0.0
